"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1967277929660141653","Sun Sep 14 17:23:03 +0000 2025","2","gamau buka tp udah tau bgt ini pap titit. kaya yang bagus aja titit loooo kambinggggg https://t.co/5kPRphFTo8","1967277929660141653","https://pbs.twimg.com/media/G00s2HjbsAAdN_i.jpg","","in","","0","1","0","https://x.com/undefined/status/1967277929660141653","1115527493522345990",
"1964132718503235685","Sat Sep 06 01:05:06 +0000 2025","50","berpulangnya affan membuatku terbangun dari koma berbulan-bulan catatan demonstrasi 010925-020925 #acab #1312 #resetindonesia ️ rora https://t.co/AjYgRcxaGP","1964132718503235685","https://pbs.twimg.com/media/G0IASy_bUAIdNME.jpg","","in","","0","1","10","https://x.com/undefined/status/1964132718503235685","1941733496596332544",
"1964522766964838421","Sun Sep 07 02:55:01 +0000 2025","307","Kenapa pendukung polisi dan rezim kelakuan kasar ketikannya juga kasar yah? #ACAB https://t.co/grfh8g3BgM","1964522766964838421","https://pbs.twimg.com/media/G0NjCzNbUAYVt_y.jpg","","in","","1","20","16","https://x.com/undefined/status/1964522766964838421","96731378",
"1963699138073329965","Thu Sep 04 20:22:12 +0000 2025","20","jangan rasis jangan seksis saling peluk baku jagaki baku lindungiki jangan kelahi sesama ya miskin jangan ambil dari yang miskin - @.barabaraya.bersatu","1963699138073329965","","","in","","1","0","4","https://x.com/undefined/status/1963699138073329965","1738713236609159168",
"1966106518346150397","Thu Sep 11 11:48:17 +0000 2025","6","Mau ENFJ STMJ ANCD ACAB kalo ga solad di mata Allah kalian semua sama saja","1966106518346150397","","","in","","0","1","5","https://x.com/undefined/status/1966106518346150397","1483808209152638977",
"1967530686312808580","Mon Sep 15 10:07:25 +0000 2025","14","Ikut piknik lagiii Btw aku pakai baju kucing ACAB super lucu punya Kak @heywannaknoww https://t.co/EyzRIVqIWk","1967530686312808580","https://pbs.twimg.com/media/G04SustawAAPzLg.jpg","","in","","1","1","2","https://x.com/undefined/status/1967530686312808580","1863521222988075008",
"1965658373434823018","Wed Sep 10 06:07:31 +0000 2025","79","dunia lagi panas-panasnya https://t.co/aawNlJo8KL","1965658373434823018","https://pbs.twimg.com/media/G0dr2-AaoAAIGR1.jpg","","in","","0","6","0","https://x.com/undefined/status/1965658373434823018","1115527493522345990",
"1963591741904159204","Thu Sep 04 13:15:27 +0000 2025","24","ACAB!!!! sampe sekarangpun ga ada kejelasan buat Alm Rheza https://t.co/o3O7Ibl81a","1963591741904159204","https://pbs.twimg.com/media/G0AScJpbYAEwEHs.jpg","","in","","0","1","5","https://x.com/undefined/status/1963591741904159204","1621657058843164672",
"1965592822121476271","Wed Sep 10 01:47:02 +0000 2025","31","Berkali2 gue bilang polisi tuh punya pilihan buat berpihak. Lu bukan budak pejabat lu punya pilihan buat memihak rakyat atau pejabat bajingan yg merugikan negara dan rakyat. Tapi ACAB di Indonesia itu malah takut buat bertindak karena ga mau hilang profesinya yg didapat dari-","1965592822121476271","","","in","","0","1","6","https://x.com/undefined/status/1965592822121476271","1244196180126396417",
"1963648311161749650","Thu Sep 04 17:00:14 +0000 2025","65","ACAB. Polisi dan pemerintah Indonesia benar2 belajar banyak dari para fasis di mamariki &amp; isriwil.","1963648311161749650","","","in","","0","1","28","https://x.com/undefined/status/1963648311161749650","760509590547030018",
"1963906937072111713","Fri Sep 05 10:07:56 +0000 2025","131","halo teman-teman yg udah Po kaos acab &amp; bersericat sebagian hasil penjualannya aku donasiin ke @maribasuara &amp; permad sukabumi (twitternya kena banned) untuk bantu-bantu korban dari tim medis kemaren. proud ke kalian tetap arahkan amarah ke atas &amp; rangkul ke kiri-kanan https://t.co/NNjQP8GTfJ","1963906937072111713","https://pbs.twimg.com/media/G0Ey8mjbEAA1X3v.jpg","","in","","1","3","35","https://x.com/undefined/status/1963906937072111713","1794238331699736576",
"1967422620602880191","Mon Sep 15 03:20:09 +0000 2025","4","sejak awal dengar konsep empty room aku penasaran banget. parfum wangi ruangan kosong tuh kayak gimana sih? bau debu kah? bau cat? ternyata bukan! nama empty room ini adalah metafora karena wanginya yang clean menggambarkan kanvas kosong. bersih ga berisik awal yang baru. https://t.co/VsAFZ8Ll8E","1967428193616601383","https://pbs.twimg.com/media/G021gcRagAA1X3q.jpg","centildikit","in","","0","1","0","https://x.com/undefined/status/1967428193616601383","1115527493522345990",
